lakecode,lakename,Latitude_dd,loglat,Longitude_dd,Longitude_standard,loglong,log_CONT,LONG_raw,long_log_cont,Elevation_m,logelev,SurfaceArea_km2,logSA,MeanDepth_m,logMD,airtemp_trend,AT_standardized,log_AT,precip_trend,PPT_standard,log_PPT,ID_slope,posneg,ID slope p,obs,TS_cat,CONT
VSV44,LAKE ASLI-KUL,54.18,1.733839001,54.37,194.1537772,2.288145844,0.754854985,17.74114472,0.754854985,205,2.311753861,23.3,1.367355921,5.1,0.707570176,-0.018889573,0.131110427,-0.882362768,0.141310952,2.141310952,0.330679738,0.073214286,Positive,0.527351565,52,46-55,EAST
RB4,ORIVESI SE,62.1,1.7930916,29.88333333,169.6671105,2.229597664,-0.197211319,-6.74552195,-0.197211319,75,1.875061263,30,1.477121255,9.8,0.991226076,0.022523148,0.172523148,-0.763152626,0.253593591,2.253593591,0.352875599,0.087121212,Positive,0.778248535,29,26-35,EAST
RB53,KYROSJARVI W,61.78630625,1.790892233,23.09309838,162.8768756,2.21185943,-0.485657089,-13.5357569,-0.485657089,83,1.919078092,15,1.176091259,10.6,1.025305865,0.003385317,0.153385317,-0.814216212,-0.086192359,1.913807641,0.281898284,0.100863821,Positive,0.482699618,60,56-65,EAST
WRS433,WHITE WATER LAKE,46.53295903,1.66776067,-81.12682412,58.65695308,1.7683195,0.473361756,9.051521999,0.552953491,263,2.419955748,9.48,0.976808337,6.4,0.806179974,0.033935184,0.183935184,-0.735335189,-0.898055,1.101945,0.042159919,0.111111111,Positive,0.725369364,19,0,WEST
RB27,KYNSIVESI W,62.36666667,1.794952533,26.16666667,165.9504439,2.219978418,-0.353632235,-10.46218861,-0.353632235,88,1.944482672,2,0.301029996,9.2,0.963787827,-0.016833333,0.133166667,-0.87560447,0.149365,2.149365,0.332310173,0.117647059,Positive,0.711561608,35,26-35,EAST
RB47,PIHLAJAVESI SE,62.35383625,1.794863178,24.24981593,164.0335931,2.214932798,-0.435680299,-12.37903935,-0.435680299,139,2.1430148,5,0.698970004,5,0.698970004,0.004166667,0.154166667,-0.812009517,-0.08070697,1.91929303,0.283141286,0.12,Positive,0.380430457,67,66-75,EAST
VSV14,LAKE LATCHA,61.32708333,1.78765231,38.74854466,178.5323219,2.251716853,0.162474234,2.11968938,0.162474234,118,2.071882007,351,2.545307116,1.3,0.113943352,-0.004766667,0.145233333,-0.837933696,0.100543333,2.100543333,0.322331645,0.125,Positive,0.341192823,55,46-55,EAST
WRS434,WILLIAMS LAKE,52.18333333,1.717531817,-122.05,17.7337772,1.248801248,-1.627295859,-31.87165388,-1.900911754,564,2.751279104,7,0.84509804,19,1.278753601,0.023388888,0.173388888,-0.760978739,0.381666667,2.381666667,0.376880978,0.125,Positive,0.910029315,22,0,WEST
RAA4,GREEN BAY AT MENOMINEE,45,1.653212514,-87.64,52.1437772,1.717202487,0.266671534,2.538346119,0.311510074,176.45,2.246621663,4212,3.624488363,9,0.954242509,0.009166666,0.159166666,-0.798147881,0.050323273,2.050323273,0.311822341,0.133333333,Positive,0.427065022,64,56-65,WEST
VSV35,LAKE ARGAYASH,55.48958876,1.744211506,60.91717229,200.7009495,2.302549427,0.989075178,24.28831701,0.989075178,243,2.385606274,7,0.84509804,5,0.698970004,0.016,0.166,-0.779891912,0.158918649,2.158918649,0.334236278,0.138888889,Positive,0.188991755,47,46-55,EAST
MINN4,WACONIA,44.86902272,1.65194661,-93.78490325,45.99887395,1.6627472,0.046483095,-3.606557131,0.05429883,289,2.460897843,13,1.113943352,5.9,0.770852012,-0.02347826,0.12652174,-0.897834844,0.112863077,2.112863077,0.324871354,0.142857143,Positive,0.520835003,39,36-45,WEST
WRS252,GRAND LAKE,46.16666667,1.664328519,-60.05,79.7337772,1.901642338,1.012448947,30.12834612,1.182683586,27,1.431363764,2,0.301029996,3,0.477121255,0.001973684,0.151973684,-0.818231609,-0.260639697,1.739360303,0.240389554,0.142857143,Positive,0.617897409,42,36-45,WEST
VSV37,LAKE ONEGA (PETROZAVODSK),61.88541667,1.791588319,35.25640261,175.0401798,2.243137751,0.022967354,-1.37245267,0.022967354,33,1.51851394,9900,3.995635195,30,1.477121255,-0.004464286,0.145535714,-0.837030419,0.061222,2.061222,0.314124769,0.148148148,Positive,0.469745632,43,36-45,EAST
JJM27,LAKE GENEVA,42.56847127,1.629088054,-88.47947845,51.30429875,1.710153756,0.238170186,1.698867669,0.278216468,263.35,2.420533323,20.66,1.315130317,18.59,1.26927939,0.005426356,0.155426356,-0.808475335,0.0150835,2.0150835,0.304293047,0.153846154,Positive,0.051599054,102,96+,WEST
KMS22,NORTH TROUT LAKE,46.05,1.663229635,-89.66666667,50.11711053,1.699986024,0.197057245,0.511679449,0.230190737,491.95,2.691920965,3.97,0.598790507,7.62,0.881954971,-0.036337145,0.113662855,-0.944381439,0.27828075,2.27828075,0.357607241,0.16025641,Positive,0.501894669,24,0,WEST
VSV7,LAKE BAUNT,55.20597222,1.741986063,113.0076726,252.7914498,2.402762381,2.618662582,76.37881732,2.618662582,1065,3.027349608,111,2.045322979,17,1.230448921,0.019222222,0.169222222,-0.771542607,0.166205833,2.166205833,0.335699721,0.175,Positive,0.647850648,17,0,EAST
RB3,HOYTIAINEN S,62.869664,1.798441139,29.69260778,169.476385,2.229109192,-0.205154482,-6.9362475,-0.205154482,87,1.939519253,110,2.041392685,8.4,0.924279286,-0.005400433,0.144599567,-0.839833008,0.118850858,2.118850858,0.326100389,0.175191816,Positive,0.538469896,37,36-45,EAST
WRS437,YORK LAKE,51.15280747,1.708869475,-102.4703403,37.3134369,1.571865253,-0.320995533,-12.29199418,-0.374968189,508,2.705863712,3.14,0.496929648,1.9,0.278753601,0.034919354,0.184919354,-0.733017632,-0.0175,1.9825,0.297213196,0.178571429,Positive,0.371374714,38,36-45,WEST
RB48,SINERVAJARVI NW,62.39425525,1.795144605,24.812761,164.5965382,2.216420697,-0.411485209,-11.81609428,-0.411485209,139,2.1430148,4.5,0.653212514,10.2,1.008600172,0.003628917,0.153628917,-0.813527031,0.152818977,2.152818977,0.333007513,0.178571429,Positive,0.608843281,33,26-35,EAST
RB45,JALANTIJARVI E,61.163927,1.786495361,23.74204762,163.5258248,2.213586348,-0.457575252,-12.88680766,-0.457575252,83,1.919078092,4,0.602059991,5.1,0.707570176,-0.006111111,0.143888889,-0.841972741,-0.104242727,1.895757273,0.277782731,0.181818182,Positive,0.386551216,54,46-55,EAST
RB32,ISOJARVI W,61.70834175,1.790343876,25.03625528,164.8200325,2.217009995,-0.401902489,-11.5926,-0.401902489,119,2.075546961,3,0.477121255,29.3,1.46686762,0.003628917,0.153628917,-0.813527031,0.062592083,2.062592083,0.314413346,0.183473389,Positive,0.401913386,33,26-35,EAST
ASK01,LAKE MJOSA - KISA-KAPP,60.7709675,1.783696151,11.0239687,150.8077459,2.178423649,-1.029364518,-25.60488658,-1.029364518,121,2.08278537,365,2.562292864,153,2.184691431,0.0135,0.1635,-0.786482243,-0.29435,1.70565,0.231889919,0.186046512,Positive,0.386401024,63,56-65,EAST
EK17,LAKE PETAJAVESI (1450),62.23333333,1.794023063,25.2,164.9837772,2.217441242,-0.394889876,-11.42885528,-0.394889876,111,2.045322979,12,1.079181246,5,0.698970004,0.008245614,0.158245614,-0.800668318,0.1,2.1,0.322219295,0.1875,Positive,0.384030735,50,46-55,EAST
RB40,VUOHIJARVI E,61.2861995,1.787362691,26.79141077,166.575188,2.221610312,-0.327095607,-9.83744451,-0.327095607,77,1.886490725,30,1.477121255,16.3,1.212187604,-0.008046875,0.141953125,-0.847855042,0.2239556,2.2239556,0.347126113,0.2,Positive,0.420633023,38,36-45,EAST
RB62,INARI E,69.05,1.839163683,28.4,168.1837772,2.225784102,-0.259224585,-8.22885528,-0.259224585,119,2.075546961,8,0.903089987,14.4,1.158362492,-0.021888888,0.128111112,-0.892413199,-0.008650714,1.991349286,0.299147443,0.205882353,Positive,0.243447107,46,46-55,EAST
MINN6,GULL,46.4617452,1.667095519,-94.33396077,45.44981643,1.657532133,0.025396116,-4.155614651,0.029666256,360,2.556302501,30,1.477121255,2.1,0.322219295,-0.019242424,0.130757576,-0.883533139,0.343293795,2.343293795,0.369826743,0.212406015,Positive,0.618787213,24,0,WEST
RB19,KOIVUJARVI S,63.61666667,1.80357091,26.23333333,166.0171105,2.220152851,-0.350795738,-10.39552195,-0.350795738,131,2.117271296,2,0.301029996,6.6,0.819543936,0.003628917,0.153628917,-0.813527031,0.133751239,2.133751239,0.329143786,0.218253968,Positive,0.485192781,33,26-35,EAST
RB5,MAANINKAJARVI NE,63.21666667,1.800831592,27.23333333,167.0171105,2.222760966,-0.308384541,-9.39552195,-0.308384541,82,1.913813852,10,1,12.2,1.086359831,0.003628917,0.153628917,-0.813527031,0.124722147,2.124722147,0.327302145,0.224747475,Positive,0.393500747,33,26-35,EAST
WRS300,LAKE MEGANTIC,45.51477699,1.658152419,-70.87758614,68.90619106,1.838258244,0.756157124,19.30075998,0.883298483,392,2.593286067,28.67,1.457427693,14.3,1.155336037,-0.011819444,0.138180556,-0.859553064,-0.888848571,1.111151429,0.045773249,0.225,Positive,0.901483047,17,0,WEST
