lakecode,lakename,Latitude_dd,loglat,Longitude_dd,Longitude_standard,loglong,Elevation_m,logelev,SurfaceArea_km2,logSA,MeanDepth_m,logMD,airtemp_trend,precip_trend,ID slope,ID slope p,obs,ID_var
VSV7,LAKE BAUNT,55.20597222,1.741986063,113.0076726,252.7914498,2.402762381,1065,3.027349608,111,2.045322979,17,1.230448921,0.019222222,0.166205833,0.175,0.647850648,17,35.98529412
WRS191,AISHIHIK LAKE,61.40847166,1.788228289,-137.1031904,2.6805868,0.428229875,936,2.971275849,147.43,2.168585866,49.7,1.696356389,-0.000277778,1.651357778,2,0.177967426,10,200.2333333
WRS193,ALLUMETTE LAKE,45.97959088,1.662565103,-77.30101234,62.48276486,1.795760239,104,2.017033339,213.04,2.328461153,26.6,1.424881637,0.096666665,0.547937143,-0.666666667,0.253283986,15,160.8571429
WRS194,ALTA LAKE,50.11350083,1.699954743,-122.9808607,16.8029165,1.225384669,641,2.80685803,1.04,0.017033339,10.9,1.037426498,-0.016633928,0.149829015,-0.063492063,0.880553719,29,318.679803
WRS199,ATTAWAPISKAT LAKE,52.24489102,1.718043828,-87.88040441,51.90337279,1.71519558,240,2.380211242,199.73,2.300443302,14.4,1.158362492,0.031207264,-0.027962361,-0.375,0.048073826,37,134.1696697
WRS203,BAKER LAKE,64.12976834,1.807059671,-95.16335496,44.62042224,1.649533676,2,0.301029996,1664.7,3.22133598,60,1.77815125,0.025202569,-0.13018875,-0.5,0.056179957,33,230.8409091
WRS207,BASS LAKE,44.60202274,1.649354555,-79.50919142,60.27458578,1.780134234,249,2.396199347,5.49,0.739572344,5,0.698970004,0.012222222,-0.123808125,0,0.974026484,20,127.2526316
WRS209,BEAR LAKE,55.18333333,1.74180793,-118.8833333,20.9004439,1.32015551,660,2.819543936,33,1.51851394,4,0.602059991,0.009328002,0.257207686,-0.15959253,0.390241397,36,170.9873016
WRS211,BEAVERLODGE LAKE,59.51210756,1.774605331,-108.5557784,31.2279988,1.494544154,240,2.380211242,47.68,1.678336247,26.8,1.428134794,0.014761904,-0.181295833,-0.333333333,0.121132905,31,89.09462366
WRS212,BIG QUILL LAKE,51.88152967,1.715012772,-104.3614131,35.4223641,1.549277543,510,2.707570176,272.89,2.435987621,3.3,0.51851394,0.03118421,0.111889,-0.047619048,0.764997896,35,162.610084
WRS213,BIG TROUT LAKE,53.78206909,1.730637506,-90.06008218,49.72369502,1.696563394,206,2.31386722,644.1,2.808953299,16,1.204119983,0.036474358,-0.064592667,-0.181818182,0.357225054,39,127.9203779
WRS214,BIGWOOD LAKE,50.11316662,1.699951846,-91.89341213,47.89036507,1.680248148,372,2.57054294,0.4,-0.397940009,4.3,0.633468456,0.016805555,0.291045882,-0.181818182,0.819962684,18,130.9705882
WRS216,BURNS LAKE,54.20496152,1.73403904,-125.7297347,14.0540425,1.147801263,697,2.843232778,12.55,1.098643726,16.2,1.209515015,0.074430554,-0.025965595,-1.5,0.087000494,13,104.525641
WRS221,CHURCHILL LAKE,55.97592039,1.748001243,-108.3329938,31.4507834,1.497631468,415,2.618048097,543.87,2.735495104,7.5,0.875061263,0.049047618,-0.71,-2,0.06170669,11,150.5636364
WRS222,CLEARWATER LAKE,54.06372583,1.732905972,-101.0797116,38.7040656,1.587756587,257,2.409933123,283.92,2.453195986,8.7,0.939519253,0.042881944,-0.0006889,0,0.906158918,37,97.09159159
WRS223,COLD LAKE,54.53806804,1.736699749,-110.0722695,29.7115077,1.47292469,531,2.725094521,346.85,2.540141699,43.6,1.639486489,0.00325,-0.122222353,-0.307692308,0.308282609,30,160.8965517
WRS230,DEADMANS POND,48.92665742,1.689545547,-54.53754457,85.24623263,1.930675195,118,2.071882007,2.54,0.404833717,1.8,0.255272505,0.037289376,0.119061071,0.295206972,0.182006064,33,193.5018939
