lake,year_ice_off,value,metric
YLA-KIVIJARVI - JURVALA (1488),1969,0.905583595,ID
YLA-KIVIJARVI - JURVALA (1488),1970,-0.068864159,ID
YLA-KIVIJARVI - JURVALA (1488),1971,0.905583595,ID
YLA-KIVIJARVI - JURVALA (1488),1972,0.661971657,ID
YLA-KIVIJARVI - JURVALA (1488),1973,-0.637292016,ID
YLA-KIVIJARVI - JURVALA (1488),1974,0.851447609,ID
YLA-KIVIJARVI - JURVALA (1488),1975,-0.691428002,ID
YLA-KIVIJARVI - JURVALA (1488),1976,0.499563698,ID
YLA-KIVIJARVI - JURVALA (1488),1977,0.255951759,ID
YLA-KIVIJARVI - JURVALA (1488),1978,0.283019752,ID
YLA-KIVIJARVI - JURVALA (1488),1979,0.445427711,ID
YLA-KIVIJARVI - JURVALA (1488),1980,-0.014728173,ID
YLA-KIVIJARVI - JURVALA (1488),1981,0.580767677,ID
YLA-KIVIJARVI - JURVALA (1488),1982,0.228883766,ID
YLA-KIVIJARVI - JURVALA (1488),1983,-0.258340111,ID
YLA-KIVIJARVI - JURVALA (1488),1984,0.499563698,ID
YLA-KIVIJARVI - JURVALA (1488),1985,0.120611793,ID
YLA-KIVIJARVI - JURVALA (1488),1986,0.255951759,ID
YLA-KIVIJARVI - JURVALA (1488),1987,0.039407814,ID
YLA-KIVIJARVI - JURVALA (1488),1988,0.526631691,ID
YLA-KIVIJARVI - JURVALA (1488),1989,0.526631691,ID
YLA-KIVIJARVI - JURVALA (1488),1990,-0.068864159,ID
YLA-KIVIJARVI - JURVALA (1488),1991,0.499563698,ID
YLA-KIVIJARVI - JURVALA (1488),1992,0.0935438,ID
YLA-KIVIJARVI - JURVALA (1488),1993,0.716107643,ID
YLA-KIVIJARVI - JURVALA (1488),1994,0.580767677,ID
YLA-KIVIJARVI - JURVALA (1488),1995,0.661971657,ID
YLA-KIVIJARVI - JURVALA (1488),1996,0.580767677,ID
YLA-KIVIJARVI - JURVALA (1488),1997,-0.068864159,ID
YLA-KIVIJARVI - JURVALA (1488),1998,0.553699684,ID
YLA-KIVIJARVI - JURVALA (1488),1999,0.472495704,ID
YLA-KIVIJARVI - JURVALA (1488),2000,-0.177136132,ID
HANKAVESI - RAUTALAMPI (1436),1950,0.039407814,ID
HANKAVESI - RAUTALAMPI (1436),1951,0.120611793,ID
HANKAVESI - RAUTALAMPI (1436),1952,0.661971657,ID
HANKAVESI - RAUTALAMPI (1436),1953,1.067991554,ID
HANKAVESI - RAUTALAMPI (1436),1954,0.391291725,ID
HANKAVESI - RAUTALAMPI (1436),1955,1.013855568,ID
HANKAVESI - RAUTALAMPI (1436),1956,0.851447609,ID
HANKAVESI - RAUTALAMPI (1436),1957,1.013855568,ID
